+-----------------------------+------+------------------------------------------------------------------------------------+------------------------------------+-----------------+---------------+
| Department                  | Year | Insurance Carrier                                                                  | Cases covered by carrier this year | Total base cost | Total revenue |
| Intensive care unit (ICU)   | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  2 |         1246.00 |      50825.60 |
| Intensive care unit (ICU)   | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          545.00 |       2725.00 |
| Intensive care unit (ICU)   | 2023 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         4166.00 |     470341.40 |
| Intensive care unit (ICU)   | 2023 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1331.00 |       6122.60 |
| Intensive care unit (ICU)   | 2024 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         5741.00 |     477077.10 |
| Intensive care unit (ICU)   | 2025 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1930.00 |       5983.00 |
| Intensive care unit (ICU)   | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  3 |        16760.00 |     336330.90 |
| Intensive care unit (ICU)   | 2026 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  2 |         3237.00 |       5627.30 |
| Intensive care unit (ICU)   | 2026 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         3683.00 |      30568.90 |
| Neurology                   | 2020 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |          729.00 |     162129.60 |
| Neurology                   | 2020 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  2 |         3799.00 |      17973.10 |
| Neurology                   | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1660.00 |     323534.00 |
| Neurology                   | 2021 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |        30015.00 |    4892445.00 |
| Neurology                   | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         7916.00 |    1466834.80 |
| Neurology                   | 2022 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2294.00 |     353046.60 |
| Neurology                   | 2022 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          988.00 |     124784.40 |
| Neurology                   | 2022 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |          290.00 |      40223.00 |
| Neurology                   | 2023 | Ανασφάλιστος                                                                       |                                  1 |         3223.00 |     299094.40 |
| Neurology                   | 2023 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          327.00 |      35806.50 |
| Neurology                   | 2023 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |        94009.00 |    9156476.60 |
| Neurology                   | 2024 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         4355.00 |      24388.00 |
| Neurology                   | 2024 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         1494.00 |      88444.80 |
| Neurology                   | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1144.00 |      14872.00 |
| Neurology                   | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  2 |         8447.00 |      17123.20 |
| Oncology                    | 2020 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         2014.00 |      12688.20 |
| Oncology                    | 2021 | Ανασφάλιστος                                                                       |                                  1 |         3694.00 |      34723.60 |
| Oncology                    | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          537.00 |       1664.70 |
| Oncology                    | 2021 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          837.00 |       6612.30 |
| Oncology                    | 2021 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1813.00 |     327246.50 |
| Oncology                    | 2021 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         4847.00 |      44107.70 |
| Oncology                    | 2021 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          425.00 |        680.00 |
| Oncology                    | 2022 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2023.00 |      14363.30 |
| Oncology                    | 2022 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         3782.00 |     584319.00 |
| Oncology                    | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         4871.00 |     638101.00 |
| Oncology                    | 2022 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1919.00 |      14008.70 |
| Oncology                    | 2023 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         2357.00 |      20505.90 |
| Oncology                    | 2023 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1300.00 |     153010.00 |
| Oncology                    | 2023 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |          475.00 |      51822.50 |
| Oncology                    | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2056.00 |     148443.20 |
| Oncology                    | 2024 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  2 |          949.00 |      79924.60 |
| Oncology                    | 2024 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         8558.00 |     694909.60 |
| Oncology                    | 2024 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |          444.00 |       3552.00 |
| Oncology                    | 2024 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         3076.00 |     196556.40 |
| Oncology                    | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         5872.00 |     154433.60 |
| Oncology                    | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          708.00 |      14938.80 |
| Oncology                    | 2026 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |          630.00 |        630.00 |
| Oncology                    | 2026 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         3631.00 |      26143.20 |
| Oncology                    | 2026 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          366.00 |       1098.00 |
| Operating theatre (OT)      | 2020 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1904.00 |      19801.60 |
| Operating theatre (OT)      | 2020 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  2 |        11569.00 |    2497206.50 |
| Operating theatre (OT)      | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1463.00 |     328882.40 |
| Operating theatre (OT)      | 2020 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          786.00 |       2908.20 |
| Operating theatre (OT)      | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         5818.00 |     978005.80 |
| Operating theatre (OT)      | 2021 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          934.00 |       1307.60 |
| Operating theatre (OT)      | 2022 | Ανασφάλιστος                                                                       |                                  1 |         3857.00 |     597835.00 |
| Operating theatre (OT)      | 2022 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1580.00 |       7584.00 |
| Operating theatre (OT)      | 2022 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1222.00 |     166558.60 |
| Operating theatre (OT)      | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         2257.00 |       3385.50 |
| Operating theatre (OT)      | 2024 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         4296.00 |     322200.00 |
| Operating theatre (OT)      | 2024 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  2 |         2745.00 |      23056.20 |
| Operating theatre (OT)      | 2024 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         4299.00 |      23214.60 |
| Operating theatre (OT)      | 2025 | Ανασφάλιστος                                                                       |                                  1 |          872.00 |      16916.80 |
| Operating theatre (OT)      | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         2964.00 |       2964.00 |
| Operating theatre (OT)      | 2026 | Ανασφάλιστος                                                                       |                                  1 |         2389.00 |      23173.30 |
| Operating theatre (OT)      | 2026 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |          791.00 |        791.00 |
| Operating theatre (OT)      | 2026 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         4646.00 |       4646.00 |
| Opthalmology                | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         2785.00 |     558671.00 |
| Opthalmology                | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         3338.00 |      24033.60 |
| Opthalmology                | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  2 |         2864.00 |     271522.10 |
| Opthalmology                | 2022 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         1550.00 |     196075.00 |
| Opthalmology                | 2023 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  2 |         1961.00 |     204071.90 |
| Opthalmology                | 2023 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         7705.00 |      53935.00 |
| Opthalmology                | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  2 |         2533.00 |      13269.00 |
| Opthalmology                | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  2 |         3292.00 |     120256.10 |
| Opthalmology                | 2024 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1416.00 |      11611.20 |
| Opthalmology                | 2025 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |          584.00 |      20206.40 |
| Opthalmology                | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1919.00 |      15352.00 |
| Opthalmology                | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  2 |         5204.00 |      12122.60 |
| Opthalmology                | 2026 | Ανασφάλιστος                                                                       |                                  2 |        17769.00 |      17769.00 |
| Orthopaedic                 | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         2062.00 |     420648.00 |
| Orthopaedic                 | 2020 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          965.00 |       1930.00 |
| Orthopaedic                 | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2236.00 |      14534.00 |
| Orthopaedic                 | 2022 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         2646.00 |       3704.40 |
| Orthopaedic                 | 2022 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         2236.00 |      10956.40 |
| Orthopaedic                 | 2023 | Ανασφάλιστος                                                                       |                                  1 |         2669.00 |     233537.50 |
| Orthopaedic                 | 2023 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1904.00 |      13137.60 |
| Orthopaedic                 | 2023 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1595.00 |     161414.00 |
| Orthopaedic                 | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          366.00 |      34623.60 |
| Orthopaedic                 | 2023 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  2 |         4224.00 |     217594.30 |
| Orthopaedic                 | 2024 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         3990.00 |       6384.00 |
| Orthopaedic                 | 2024 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         2570.00 |      21845.00 |
| Orthopaedic                 | 2024 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |          366.00 |      24229.20 |
| Orthopaedic                 | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  2 |         2104.00 |      56404.40 |
| Orthopaedic                 | 2025 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         5235.00 |      41880.00 |
| Orthopaedic                 | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         5872.00 |     209630.40 |
| Orthopaedic                 | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         2570.00 |      19789.00 |
| Orthopaedic                 | 2026 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1043.00 |       6049.40 |
| Orthopaedic                 | 2026 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         2856.00 |      13708.80 |
| Outpatient Department (OPD) | 2020 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         4145.00 |      26942.50 |
| Outpatient Department (OPD) | 2021 | Ανασφάλιστος                                                                       |                                  1 |         1938.00 |     346126.80 |
| Outpatient Department (OPD) | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          545.00 |      95974.50 |
| Outpatient Department (OPD) | 2021 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         3408.00 |      31353.60 |
| Outpatient Department (OPD) | 2022 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1198.00 |     154422.20 |
| Outpatient Department (OPD) | 2022 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         7359.00 |      61815.60 |
| Outpatient Department (OPD) | 2022 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         2513.00 |       4523.40 |
| Outpatient Department (OPD) | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1774.00 |       9757.00 |
| Outpatient Department (OPD) | 2023 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          330.00 |      35244.00 |
| Outpatient Department (OPD) | 2024 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         2716.00 |     182243.60 |
| Outpatient Department (OPD) | 2024 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         2576.00 |     190881.60 |
| Outpatient Department (OPD) | 2024 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          786.00 |      40557.60 |
| Outpatient Department (OPD) | 2025 | Ανασφάλιστος                                                                       |                                  1 |         1472.00 |      14867.20 |
| Outpatient Department (OPD) | 2026 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         2560.00 |      25088.00 |
| Pediatrics                  | 2020 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2037.00 |      10388.70 |
| Pediatrics                  | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          700.00 |     160300.00 |
| Pediatrics                  | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          428.00 |      75413.60 |
| Pediatrics                  | 2021 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          934.00 |       5790.80 |
| Pediatrics                  | 2021 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |          872.00 |     169778.40 |
| Pediatrics                  | 2022 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1253.00 |     188325.90 |
| Pediatrics                  | 2022 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         4646.00 |      25088.40 |
| Pediatrics                  | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         6489.00 |      10382.40 |
| Pediatrics                  | 2023 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          161.00 |      14667.10 |
| Pediatrics                  | 2023 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         3158.00 |      12632.00 |
| Pediatrics                  | 2023 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1058.00 |      10897.40 |
| Pediatrics                  | 2023 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |        26508.00 |      26508.00 |
| Pediatrics                  | 2024 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         5805.00 |     357007.50 |
| Pediatrics                  | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         2413.00 |      65392.30 |
| Pediatrics                  | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1377.00 |       2340.90 |
| Pediatrics                  | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |          405.00 |      12676.50 |
| Pediatrics                  | 2026 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         2233.00 |      21660.10 |
| Pediatrics                  | 2026 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          475.00 |       4512.50 |
| Psychiatry                  | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          475.00 |       3040.00 |
| Psychiatry                  | 2020 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1416.00 |      10903.20 |
| Psychiatry                  | 2021 | Ανασφάλιστος                                                                       |                                  1 |          902.00 |       8659.20 |
| Psychiatry                  | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          837.00 |     134673.30 |
| Psychiatry                  | 2021 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  2 |         3057.00 |     210365.50 |
| Psychiatry                  | 2021 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |          540.00 |        648.00 |
| Psychiatry                  | 2021 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1159.00 |       8576.60 |
| Psychiatry                  | 2022 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          148.00 |      22703.20 |
| Psychiatry                  | 2023 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1261.00 |       1261.00 |
| Psychiatry                  | 2023 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1110.00 |     131424.00 |
| Psychiatry                  | 2023 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  2 |         7946.00 |      11957.00 |
| Psychiatry                  | 2023 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         4378.00 |     405402.80 |
| Psychiatry                  | 2023 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         3782.00 |     323361.00 |
| Psychiatry                  | 2024 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         4801.00 |     394642.20 |
| Psychiatry                  | 2024 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |          872.00 |      48308.80 |
| Psychiatry                  | 2024 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |          232.00 |      15590.40 |
| Psychiatry                  | 2024 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         2771.00 |      26601.60 |
| Psychiatry                  | 2025 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         3338.00 |      48067.20 |
| Psychiatry                  | 2026 | Ανασφάλιστος                                                                       |                                  1 |         2085.00 |       2085.00 |
| Psychiatry                  | 2026 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          296.00 |        296.00 |
| Urology                     | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  2 |         2198.00 |     201836.60 |
| Urology                     | 2020 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         3761.00 |       6769.80 |
| Urology                     | 2020 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         2513.00 |       2513.00 |
| Urology                     | 2020 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         7042.00 |      59152.80 |
| Urology                     | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1097.00 |       2303.70 |
| Urology                     | 2021 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         5818.00 |    1103674.60 |
| Urology                     | 2021 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  2 |         4344.00 |     762343.20 |
| Urology                     | 2021 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         5872.00 |     977688.00 |
| Urology                     | 2022 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2993.00 |     377118.00 |
| Urology                     | 2022 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          482.00 |       2747.40 |
| Urology                     | 2022 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         2648.00 |     344769.60 |
| Urology                     | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1374.00 |     168452.40 |
| Urology                     | 2023 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1837.00 |       9919.80 |
| Urology                     | 2023 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  2 |         1327.00 |      74820.40 |
| Urology                     | 2023 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         4655.00 |      27464.50 |
| Urology                     | 2023 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         2570.00 |     248262.00 |
| Urology                     | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          459.00 |       2386.80 |
| Urology                     | 2024 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1860.00 |     102300.00 |
| Urology                     | 2024 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         5872.00 |     321785.60 |
| Urology                     | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1052.00 |      33664.00 |
| Urology                     | 2025 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |          687.00 |      33319.50 |
| Urology                     | 2025 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |        16846.00 |     498641.60 |
| Urology                     | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1765.00 |       1765.00 |
| Urology                     | 2026 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         6411.00 |      63468.90 |
+-----------------------------+------+------------------------------------------------------------------------------------+------------------------------------+-----------------+---------------+
